phenotype	n_missing	missing_rate	n_non_missing
PG 18:3-22:3	376	0.9641025641025641	14
PS 20:0-20:0	374	0.958974358974359	16
PG 18:4-20:0	370	0.9487179487179487	20
PG 18:4-20:1	369	0.9461538461538461	21
PS 20:4-20:4	369	0.9461538461538461	21
PG 16:1-20:2	366	0.9384615384615385	24
PE 18:0-20:0	364	0.9333333333333333	26
PS 20:3-20:4	364	0.9333333333333333	26
PG 16:1-20:1	356	0.9128205128205128	34
PG 16:1-20:0	353	0.9051282051282051	37
PG 20:2-20:4	353	0.9051282051282051	37
PS 20:3-20:3	349	0.8948717948717949	41
PG 16:1-22:5	344	0.882051282051282	46
PC 18:3-20:4	341	0.8743589743589744	49
PS 16:0-20:3	341	0.8743589743589744	49
PS 20:1-20:5	341	0.8743589743589744	49
PE 22:4-22:5	340	0.8717948717948718	50
PS 20:2-22:6	340	0.8717948717948718	50
PG 20:1-20:5	338	0.8666666666666667	52
PS 18:1-20:3	336	0.8615384615384616	54
PG 18:3-22:5	334	0.8564102564102564	56
PG 20:3-20:5	334	0.8564102564102564	56
PI 16:0-18:0	333	0.8538461538461538	57
PS 18:2-20:4	333	0.8538461538461538	57
PC 18:0-18:0	331	0.8487179487179487	59
PE 20:5-22:4	330	0.8461538461538461	60
PG 20:2-20:5	329	0.8435897435897436	61
PE 20:3-22:6	327	0.8384615384615385	63
PS 20:1-22:5	325	0.8333333333333334	65
PC 16:0-22:3	324	0.8307692307692308	66
PC 18:0-22:1	323	0.8282051282051283	67
PE 20:2-22:0	322	0.8256410256410256	68
PC 20:1-20:2	321	0.823076923076923	69
SM 40:6	321	0.823076923076923	69
PE 18:0-18:1	320	0.8205128205128205	70
PE 20:1-22:1	319	0.8179487179487179	71
PG 18:1-22:4	319	0.8179487179487179	71
PC 18:3-18:4	315	0.8076923076923077	75
PE 20:0-22:2	315	0.8076923076923077	75
PC 18:4-20:4	310	0.7948717948717948	80
PS 20:0-22:6	310	0.7948717948717948	80
PC 20:1-22:1	309	0.7923076923076923	81
PI 18:1-22:1	309	0.7923076923076923	81
PC 20:2-22:0	308	0.7897435897435897	82
PG 18:0-18:4	308	0.7897435897435897	82
PI 18:2-20:4	307	0.7871794871794872	83
PS 22:1-22:6	307	0.7871794871794872	83
PE 17:0-17:0	306	0.7846153846153846	84
PE 18:3-22:4	304	0.7794871794871795	86
PC 20:1-22:3	303	0.7769230769230769	87
PC 20:3-22:0	302	0.7743589743589744	88
PE 20:2-22:2	302	0.7743589743589744	88
PE 18:4-22:4	301	0.7717948717948718	89
PS 22:2-22:6	301	0.7717948717948718	89
PC 16:1-22:1	300	0.7692307692307693	90
PE 18:4-22:1	300	0.7692307692307693	90
PC 20:0-22:2	299	0.7666666666666667	91
PC 20:0-22:3	299	0.7666666666666667	91
PE 16:1-20:3	298	0.764102564102564	92
PS 18:1-20:5	298	0.764102564102564	92
PE 20:4-20:4	296	0.7589743589743589	94
PG 16:0-20:3	296	0.7589743589743589	94
PI 18:2-18:3	296	0.7589743589743589	94
PC 20:2-22:2	295	0.7564102564102564	95
PE 20:0-22:1	295	0.7564102564102564	95
PC 18:1-22:1	290	0.7435897435897436	100
PS 16:0-18:3	290	0.7435897435897436	100
PG 20:4-20:4	289	0.7410256410256411	101
PC 18:2-18:4	288	0.7384615384615385	102
PC 22:0-22:1	288	0.7384615384615385	102
PI 18:0-22:1	288	0.7384615384615385	102
PI 18:1-20:3	288	0.7384615384615385	102
PI 18:2-22:0	288	0.7384615384615385	102
PI 18:1-20:0	287	0.735897435897436	103
PE 20:0-22:3	286	0.7333333333333333	104
PC 20:3-22:1	283	0.7256410256410256	107
PC 18:4-22:2	282	0.7230769230769231	108
PE 22:3-22:4	282	0.7230769230769231	108
PI 18:4-22:3	282	0.7230769230769231	108
PE 18:4-20:0	281	0.7205128205128205	109
PE 18:4-22:0	281	0.7205128205128205	109
PG 18:3-20:3	281	0.7205128205128205	109
PC 20:0-20:3	280	0.717948717948718	110
PE 20:3-22:0	280	0.717948717948718	110
PG 20:5-20:5	279	0.7153846153846154	111
PI 16:0-20:5	279	0.7153846153846154	111
PI 16:0-22:6	279	0.7153846153846154	111
PC 20:2-22:1	278	0.7128205128205128	112
PE 20:3-22:1	278	0.7128205128205128	112
PI 16:1-22:0	277	0.7102564102564103	113
PS 18:1-18:4	277	0.7102564102564103	113
PI 16:1-22:2	275	0.7051282051282052	115
PE 16:1-16:1	274	0.7025641025641025	116
PE 18:3-22:3	274	0.7025641025641025	116
PE 20:1-22:0	274	0.7025641025641025	116
PI 18:2-20:3	274	0.7025641025641025	116
PC 18:4-20:3	273	0.7	117
PE 18:4-20:1	273	0.7	117
PE 18:4-22:3	273	0.7	117
PG 18:0-18:0	273	0.7	117
PI 18:4-22:0	272	0.6974358974358974	118
PC 18:1-18:4	271	0.6948717948717948	119
PC 22:0-22:4	271	0.6948717948717948	119
PC 20:2-22:5	270	0.6923076923076923	120
PC 22:1-22:1	270	0.6923076923076923	120
PI 18:1-20:5	270	0.6923076923076923	120
PI 18:4-22:1	270	0.6923076923076923	120
PC 18:3-22:4	269	0.6897435897435897	121
PC 20:0-22:4	269	0.6897435897435897	121
PC 18:0-18:4	268	0.6871794871794872	122
PE 18:4-20:2	268	0.6871794871794872	122
PE 20:2-22:4	268	0.6871794871794872	122
PS 20:3-22:3	268	0.6871794871794872	122
PC 20:0-22:5	267	0.6846153846153846	123
PC 22:4-22:6	267	0.6846153846153846	123
PI 18:3-22:4	267	0.6846153846153846	123
PE 18:3-22:0	266	0.6820512820512821	124
PE 22:1-22:4	266	0.6820512820512821	124
PE 16:1-22:2	265	0.6794871794871795	125
PS 18:1-22:0	265	0.6794871794871795	125
PC 18:4-22:5	264	0.676923076923077	126
PC 20:1-22:2	264	0.676923076923077	126
PE 22:2-22:5	264	0.676923076923077	126
PE 22:1-22:1	263	0.6743589743589744	127
PI 18:0-22:4	263	0.6743589743589744	127
PE 18:3-18:4	262	0.6717948717948717	128
PI 16:1-22:1	262	0.6717948717948717	128
PI 18:3-20:5	262	0.6717948717948717	128
PI 18:3-22:1	262	0.6717948717948717	128
PI 20:4-22:0	262	0.6717948717948717	128
PC 20:0-22:1	261	0.6692307692307692	129
PC 20:2-22:3	261	0.6692307692307692	129
PE 18:3-18:3	261	0.6692307692307692	129
PE 18:4-18:4	261	0.6692307692307692	129
PI 18:3-22:2	260	0.6666666666666666	130
PC 18:4-22:1	259	0.6641025641025641	131
PC 20:3-22:5	259	0.6641025641025641	131
PC 22:3-22:6	259	0.6641025641025641	131
PC 22:5-22:5	259	0.6641025641025641	131
PE 20:1-20:2	259	0.6641025641025641	131
PE 20:2-20:2	259	0.6641025641025641	131
PG 18:3-20:5	259	0.6641025641025641	131
PI 16:1-22:3	259	0.6641025641025641	131
PI 18:1-18:4	258	0.6615384615384615	132
PI 20:1-20:4	258	0.6615384615384615	132
PC 18:4-22:0	257	0.658974358974359	133
PE 18:1-22:0	257	0.658974358974359	133
PE 22:2-22:2	257	0.658974358974359	133
PG 18:3-22:6	257	0.658974358974359	133
PI 18:0-20:0	257	0.658974358974359	133
PS 16:0-16:1	257	0.658974358974359	133
PC 22:0-22:2	256	0.6564102564102564	134
PC 22:0-22:3	256	0.6564102564102564	134
PE 18:0-22:5	256	0.6564102564102564	134
PE 18:3-20:5	256	0.6564102564102564	134
PE 18:4-22:6	256	0.6564102564102564	134
PI 18:2-18:2	256	0.6564102564102564	134
PS 18:1-22:5	256	0.6564102564102564	134
PC 18:3-22:2	255	0.6538461538461539	135
PE 18:4-20:5	255	0.6538461538461539	135
PI 16:1-20:0	255	0.6538461538461539	135
PI 20:1-20:3	255	0.6538461538461539	135
PI 20:1-22:5	255	0.6538461538461539	135
PC 22:0-22:0	254	0.6512820512820513	136
PE 22:2-22:6	254	0.6512820512820513	136
PG 18:0-20:2	254	0.6512820512820513	136
PI 18:3-22:5	254	0.6512820512820513	136
PI 20:2-22:3	254	0.6512820512820513	136
PS 18:2-22:5	254	0.6512820512820513	136
TAG54:4-FA20:4	254	0.6512820512820513	136
PE 18:3-22:1	253	0.6487179487179487	137
