old_name	new_name
FID	FID
IID	IID
O-Phosphoryl-ethanolamine	O_Phosphoryl_ethanolamine
Acesulfame	Acesulfame
Acetic acid	Acetic_acid
Propanoic acid	Propanoic_acid
Glycolic acid	Glycolic_acid
But-2-enoic acid	But_2_enoic_acid
Valeric acid	Valeric_acid
2-Aminoisobutyric acid	P_2_Aminoisobutyric_acid
L-Alpha-aminobutyric acid	L_Alpha_aminobutyric_acid
alpha-Hydroxyisobutyric acid	alpha_Hydroxyisobutyric_acid
2-Hydroxybutyric acid	P_2_Hydroxybutyric_acid
3-Hydroxybutyric acid	P_3_Hydroxybutyric_acid
Acetylglycine	Acetylglycine
3-Hydroxyisovaleric acid	P_3_Hydroxyisovaleric_acid
2-Hydroxy-2-methylbutyric acid	P_2_Hydroxy_2_methylbutyric_acid
5-Aminoimidazole-4-carboxamide	P_5_Aminoimidazole_4_carboxamide
L-Pipecolic acid	L_Pipecolic_acid
4-Hydroxyproline	P_4_Hydroxyproline
cis-4-Hydroxy-D-proline	cis_4_Hydroxy_D_proline
Hydroxyisocaproic acid	Hydroxyisocaproic_acid
Erythronic acid	Erythronic_acid
2-Methylbenzoic acid	P_2_Methylbenzoic_acid
N-Methylnicotinamide	N_Methylnicotinamide
3,4-Dihydroxybenzaldehyde	P_3_4_Dihydroxybenzaldehyde
2-Ethylhexanoic acid	P_2_Ethylhexanoic_acid
2-Methylheptanoic Acid	P_2_Methylheptanoic_Acid
4-Acetamidobutanoic acid	P_4_Acetamidobutanoic_acid
4-Guanidinobutyric acid	P_4_Guanidinobutyric_acid
N,N-Dimethyl-L-Valine	N_N_Dimethyl_L_Valine
Monomethyl glutaric acid	Monomethyl_glutaric_acid
3-Methyloxindole	P_3_Methyloxindole
3,4-Dihydro-2H-1-benzopyran-2-one	P_3_4_Dihydro_2H_1_benzopyran_2_one
D-Xylose	D_Xylose
Hydrocinnamic acid	Hydrocinnamic_acid
2-HYDROXY-4-(METHYLTHIO)BUTANOATE	P_2_HYDROXY_4_METHYLTHIO_BUTANOATE
Phenylglyoxylic acid	Phenylglyoxylic_acid
D-Arabinose	D_Arabinose
2-Phenylpropionic acid	P_2_Phenylpropionic_acid
2-Phenylglycine	P_2_Phenylglycine
(S)C(S)S-S-Methylcysteine sulfoxide	S_C_S_S_S_Methylcysteine_sulfoxide
3-Hydroxyphenylacetic acid	P_3_Hydroxyphenylacetic_acid
Mandelic acid	Mandelic_acid
Ribitol	Ribitol
3-Hydroxyanthranilic acid	P_3_Hydroxyanthranilic_acid
3-Aminosalicylic acid	P_3_Aminosalicylic_acid
Gentisic acid	Gentisic_acid
N-Acetylproline	N_Acetylproline
Tranexamic Acid	Tranexamic_Acid
Isovalerylglycine	Isovalerylglycine
Hydroxyoctanoic acid	Hydroxyoctanoic_acid
2-Indolecarboxylic acid	P_2_Indolecarboxylic_acid
S-Allylcysteine	S_Allylcysteine
Bicine	Bicine
3-Phenylbutyric acid	P_3_Phenylbutyric_acid
2-Deoxyglucose	P_2_Deoxyglucose
4-Hydroxycinnamic acid	P_4_Hydroxycinnamic_acid
m-Coumaric acid	m_Coumaric_acid
L-Phenylalanine	L_Phenylalanine
Phenyllactic acid	Phenyllactic_acid
Desaminotyrosine	Desaminotyrosine
Arabinonic acid	Arabinonic_acid
Vanillic acid	Vanillic_acid
p-Hydroxymandelic acid	p_Hydroxymandelic_acid
1-Methylhistidine	P_1_Methylhistidine
Decanoic acid	Decanoic_acid
beta-Glycerophosphoric acid	beta_Glycerophosphoric_acid
N-Acetylleucine	N_Acetylleucine
Shikimic acid	Shikimic_acid
Dehydroascorbic acid	Dehydroascorbic_acid
Glycylvaline	Glycylvaline
L-Arginine	L_Arginine
L-Gulonolactone	L_Gulonolactone
Glucosamine	Glucosamine
D-Glucose	D_Glucose
L-Sorbose	L_Sorbose
myo-Inositol	myo_Inositol
beta-(m-Hydroxyphenyl)hydracrylic Acid	beta_m_Hydroxyphenyl_hydracrylic_Acid
Undecylenic acid	Undecylenic_acid
Phosphoserine	Phosphoserine
Undecanoic acid	Undecanoic_acid
3-Phosphoglyceric acid	P_3_Phosphoglyceric_acid
Indoleacrylic acid	Indoleacrylic_acid
N-Acetylglutamine	N_Acetylglutamine
L-Homoarginine	L_Homoarginine
10-Hydroxydecanoic acid	P_10_Hydroxydecanoic_acid
3-Indoleglyoxylic acid	P_3_Indoleglyoxylic_acid
N-Acetyl-L-methionine	N_Acetyl_L_methionine
4-Aminohippuric acid	P_4_Aminohippuric_acid
Ferulic acid	Ferulic_acid
3-Hydroxyhippuric	P_3_Hydroxyhippuric
D-Gluconolactone	D_Gluconolactone
Gluconic acid	Gluconic_acid
Homoveratric acid	Homoveratric_acid
Selenomethionine	Selenomethionine
N-Acetyl-L-histidine	N_Acetyl_L_histidine
Syringic acid	Syringic_acid
Vanillymandelic Acid	Vanillymandelic_Acid
5Z-Dodecenoic acid	P_5Z_Dodecenoic_acid
11-Dodecenoic acid	P_11_Dodecenoic_acid
Dodecanoic acid	Dodecanoic_acid
Diethyl oxalpropionate	Diethyl_oxalpropionate
3-Indolebutyric acid	P_3_Indolebutyric_acid
Indolepyruvate	Indolepyruvate
L-Tryptophan	L_Tryptophan
Xanthurenic acid	Xanthurenic_acid
L-Kynurenine	L_Kynurenine
Glyoxylic acid	Glyoxylic_acid
12-Tridecanoic acid	P_12_Tridecanoic_acid
Tridecanoic acid	Tridecanoic_acid
N-a-Acetyl-L-arginine	N_a_Acetyl_L_arginine
Alanylglutamine	Alanylglutamine
N-Acetyl-D-glucosamine	N_Acetyl_D_glucosamine
Oxalic acid	Oxalic_acid
Cortisone	Cortisone
Myristoleic acid	Myristoleic_acid
Myristelaidic acid	Myristelaidic_acid
3-Nitrotyrosine	P_3_Nitrotyrosine
Myristic acid	Myristic_acid
3,4,5-Trimethoxycinnamic acid	P_3_4_5_Trimethoxycinnamic_acid
Pyridoxal 5'-phosphate	Pyridoxal_5_phosphate
Maleic acid	Maleic_acid
Fumaric acid	Fumaric_acid
Palmitoleic acid	Palmitoleic_acid
Palmitelaidic acid	Palmitelaidic_acid
(7Z)-Hexadecenoic Acid	P_7Z_Hexadecenoic_Acid
23-Nordeoxycholic Acid Methyl Ester	P_23_Nordeoxycholic_Acid_Methyl_Ester
Alpha-N-Phenylacetyl-L-glutamine	Alpha_N_Phenylacetyl_L_glutamine
Itaconic acid	Itaconic_acid
Ketoleucine	Ketoleucine
3-Methyl-2-oxovaleric acid	P_3_Methyl_2_oxovaleric_acid
2,3-Diphosphoglyceric acid	P_2_3_Diphosphoglyceric_acid
N-Acetyl-L-alanine	N_Acetyl_L_alanine
D-Aspartic acid	D_Aspartic_acid
Inosine	Inosine
10Z-Heptadecenoic acid	P_10Z_Heptadecenoic_acid
7-Ketolithocholic Acid Methyl Ester	P_7_Ketolithocholic_Acid_Methyl_Ester
cis,cis-Muconic acid	cis_cis_Muconic_acid
Urocanic acid	Urocanic_acid
Alpha-Linolenic acid	Alpha_Linolenic_acid
Linolelaidic acid	Linolelaidic_acid
Adipic acid	Adipic_acid
Methylglutaric acid	Methylglutaric_acid
Oxoglutaric acid	Oxoglutaric_acid
2,2-Dimethylsuccinic acid	P_2_2_Dimethylsuccinic_acid
3,6-Diketocholanic Acid Ethyl Ester	P_3_6_Diketocholanic_Acid_Ethyl_Ester
N-Methyl-D-aspartic acid	N_Methyl_D_aspartic_acid
CIS-11-OCTADECENOIC ACID	CIS_11_OCTADECENOIC_ACID
trans-Vaccenic acid	trans_Vaccenic_acid
Petroselinic acid	Petroselinic_acid
Citramalic acid	Citramalic_acid
Retinal	Retinal
Tartaric acid	Tartaric_acid
7-Dehydrocholic Acid Methyl Ester	P_7_Dehydrocholic_Acid_Methyl_Ester
Etodolac	Etodolac
Aspartame	Aspartame
Pimelic acid	Pimelic_acid
3-Methyladipic acid	P_3_Methyladipic_acid
3-Oxoadipic acid	P_3_Oxoadipic_acid
3,3-Dimethylglutaric acid	P_3_3_Dimethylglutaric_acid
D-Ribulose	D_Ribulose
10Z-Nonadecenoic acid	P_10Z_Nonadecenoic_acid
Ricinoleic acid	Ricinoleic_acid
all-trans-Retinoic acid	all_trans_Retinoic_acid
12-hydroxystearic acid	P_12_hydroxystearic_acid
Phthalic acid	Phthalic_acid
Quinolinic acid	Quinolinic_acid
2,6-Pyridinedicarboxylic acid	P_2_6_Pyridinedicarboxylic_acid
Eicosapentaenoic acid EPA	Eicosapentaenoic_acid_EPA
8Z,11Z,14Z,17Z-EICOSATETRAENOIC ACID	P_8Z_11Z_14Z_17Z_EICOSATETRAENOIC_ACID
CIS-11,14,17-EICOSATRIENOIC ACID	CIS_11_14_17_EICOSATRIENOIC_ACID
8,11,14-Eicosatrienoic acid	P_8_11_14_Eicosatrienoic_acid
